signal,rp_id,flip_type,direction,human,r1,r2
Warmth markers,d18svfi,corrected_fp,good,0,1,0
Warmth markers,do4xd9d,corrected_fp,good,0,1,0
Warmth markers,d076i8t,corrected_fp,good,0,1,0
Warmth markers,efuency,corrected_fp,good,0,1,0
Warmth markers,dxmdx5u,corrected_fp,good,0,1,0
Warmth markers,dp3d78n,corrected_fp,good,0,1,0
Warmth markers,e1o1z1m,corrected_fp,good,0,1,0
Warmth markers,di1eayy,corrected_fp,good,0,1,0
Warmth markers,dtxvirk,corrected_fp,good,0,1,0
Warmth markers,e3ufpuf,corrected_fp,good,0,1,0
Warmth markers,df8zgb9,corrected_fp,good,0,1,0
Warmth markers,dafzbcp,corrected_fp,good,0,1,0
Warmth markers,e8799hm,corrected_fp,good,0,1,0
Warmth markers,ebqr262,corrected_fp,good,0,1,0
Warmth markers,dtuopol,introduced_fn,bad,1,1,0
Warmth markers,dcqzatf,introduced_fn,bad,1,1,0
Warmth markers,eczl002,introduced_fn,bad,1,1,0
Warmth markers,dswzg71,introduced_fn,bad,1,1,0
Warmth markers,drrwnq7,introduced_fn,bad,1,1,0
Warmth markers,dbavdkj,introduced_fn,bad,1,1,0
Warmth markers,ddtar8i,introduced_fn,bad,1,1,0
Warmth markers,ds1l9jk,introduced_fn,bad,1,1,0
Warmth markers,d7cifel,corrected_fn,good,1,0,1
Disclosure escalation,dbstkc3,corrected_fp,good,0,1,0
Disclosure escalation,d9o4ss3,corrected_fp,good,0,1,0
Disclosure escalation,deozw6l,corrected_fp,good,0,1,0
Disclosure escalation,eczl002,corrected_fp,good,0,1,0
Disclosure escalation,ecx2gco,introduced_fn,bad,1,1,0
Disclosure escalation,ef9wa41,introduced_fn,bad,1,1,0
Disclosure escalation,df4zctv,corrected_fn,good,1,0,1
Disclosure escalation,dyvq1ne,introduced_fp,bad,0,0,1
Disclosure escalation,e1khigz,introduced_fp,bad,0,0,1
Return-visit language,deozw6l,corrected_fp,good,0,1,0
Return-visit language,di1eayy,corrected_fp,good,0,1,0
Return-visit language,e3ufpuf,corrected_fp,good,0,1,0
Return-visit language,e8799hm,corrected_fp,good,0,1,0
Return-visit language,ds1l9jk,introduced_fn,bad,1,1,0
Return-visit language,d18svfi,corrected_fn,good,1,0,1
